185.114.72.31:2053#ES [266.78ms 0.5Mbps]
38.54.4.209:443#KH [267.57ms 0.99Mbps]
40.233.71.238:443#CA [267.88ms 0.18Mbps]
40.233.77.216:443#CA [268.06ms 0.21Mbps]
193.181.212.25:443#DK [268.49ms 0.57Mbps]
216.238.88.154:8443#MX [268.78ms 2.2Mbps]
160.187.110.199:443#AU [268.92ms 5.41Mbps]
193.180.210.125:8443#DK [269.01ms 1.31Mbps]
77.110.110.212:8443#AT [269.25ms 1.07Mbps]
91.250.248.68:443#GR [269.28ms 0.08Mbps]
185.80.129.84:443#LT [269.41ms 0.08Mbps]
216.238.79.83:8443#MX [269.55ms 2.47Mbps]
83.147.242.56:8443#ES [269.94ms 0.05Mbps]
194.5.98.17:443#NO [270.83ms 0.61Mbps]
57.131.32.25:2053#IT [271.28ms 0.08Mbps]
193.181.212.101:443#DK [271.88ms 0.38Mbps]
185.80.128.24:8443#LT [271.9ms 0.06Mbps]
193.180.215.69:443#DK [271.99ms 0.49Mbps]
54.229.164.147:8443#IE [272.19ms 0.04Mbps]
152.53.2.213:8443#AT [272.66ms 2.31Mbps]
109.248.170.245:443#KZ [272.94ms 0.09Mbps]
162.141.93.191:8443#ES [273.16ms 0.08Mbps]
66.245.204.103:443#IT [273.61ms 0.8Mbps]
193.180.209.21:443#DK [274.42ms 0.7Mbps]
216.238.80.148:8443#MX [274.81ms 1.11Mbps]
45.153.48.236:8443#DK [274.85ms 0.52Mbps]
185.80.128.20:443#LT [275.8ms 0.19Mbps]
45.148.31.204:443#DK [275.98ms 0.7Mbps]
91.149.243.34:443#ES [276.05ms 0.14Mbps]
213.252.246.17:8443#LT [276.49ms 0.22Mbps]
193.181.212.80:443#DK [277.08ms 2.16Mbps]
217.217.227.126:443#BG [277.99ms 1.03Mbps]
130.94.58.215:8443#SA [278.04ms 1.75Mbps]
185.80.128.80:443#LT [278.14ms 0.14Mbps]
172.233.97.34:443#ES [278.54ms 0.0Mbps]
193.181.215.4:8443#DK [278.84ms 1.06Mbps]
130.94.58.215:443#SA [279.11ms 0.5Mbps]
109.248.247.86:443#KZ [279.36ms 0.17Mbps]
193.180.213.29:8443#DK [279.89ms 0.56Mbps]
94.131.83.94:443#KZ [280.49ms 1.07Mbps]
38.213.228.91:443#MX [280.87ms 0.0Mbps]
216.238.79.164:443#MX [281.56ms 0.56Mbps]
160.187.110.199:8443#AU [282.44ms 5.17Mbps]
119.9.134.7:443#AU [282.68ms 0.43Mbps]
63.32.194.15:2053#IE [283.45ms 2.34Mbps]
63.32.194.15:8443#IE [283.54ms 1.31Mbps]
80.211.24.43:443#IT [284.38ms 0.22Mbps]
162.141.93.191:443#ES [285.58ms 0.08Mbps]
185.237.234.67:443#ES [285.87ms 0.26Mbps]
45.9.156.118:443#BG [286.1ms 3.05Mbps]
91.207.75.26:443#KZ [286.34ms 0.77Mbps]
148.253.214.60:443#BG [286.38ms 0.3Mbps]
216.238.82.140:8443#MX [286.65ms 0.51Mbps]
172.233.116.56:2053#ES [286.78ms 0.0Mbps]
216.238.78.167:443#MX [286.86ms 2.21Mbps]
185.148.146.9:443#BG [287.05ms 1.13Mbps]
194.55.166.65:443#CY [287.28ms 0.36Mbps]
13.140.29.13:443#BG [288.77ms 0.16Mbps]
109.248.18.35:443#KZ [288.98ms 0.1Mbps]
83.147.241.139:2096#BG [289.06ms 0.16Mbps]
81.29.149.219:2053#NO [289.07ms 1.38Mbps]
185.153.198.86:443#MD [289.4ms 0.1Mbps]
213.155.22.169:8443#KZ [289.89ms 0.07Mbps]
80.211.238.227:443#IT [290.14ms 0.11Mbps]
194.68.32.99:443#NO [291.17ms 2.92Mbps]
185.179.82.201:443#BY [292.76ms 0.3Mbps]
141.105.130.102:443#UA [292.89ms 1.03Mbps]
91.207.74.142:8443#KZ [292.99ms 0.05Mbps]
81.181.166.197:443#RO [294.93ms 0.23Mbps]
84.32.97.162:443#LT [295.5ms 0.07Mbps]
38.54.64.204:443#ZA [296.05ms 0.39Mbps]
5.39.253.39:443#KZ [296.81ms 0.07Mbps]
2.27.131.10:443#KZ [296.94ms 0.11Mbps]
154.46.31.118:443#RO [297.18ms 0.1Mbps]
185.239.49.82:8443#IL [297.27ms 0.0Mbps]
93.123.113.47:443#AL [297.29ms 0.09Mbps]
209.38.82.114:443#AU [297.37ms 0.11Mbps]
91.231.182.162:8443#UA [297.56ms 0.18Mbps]
109.248.199.113:8443#KZ [299.94ms 0.09Mbps]
82.152.132.14:443#RO [300.03ms 0.41Mbps]
193.169.229.202:443#IL [302.82ms 0.13Mbps]
85.90.196.38:443#RO [303.74ms 0.08Mbps]
85.90.197.53:443#GR [304.17ms 0.12Mbps]
85.90.197.157:443#GR [304.3ms 0.07Mbps]
131.196.252.97:443#MX [305.11ms 0.04Mbps]
144.31.243.69:443#LT [306.61ms 0.29Mbps]
178.214.211.48:8443#RO [307.28ms 0.05Mbps]
178.214.211.99:443#RO [308.25ms 0.34Mbps]
89.185.82.188:443#MK [309.63ms 0.09Mbps]
195.133.92.20:443#PT [309.82ms 0.02Mbps]
194.180.191.123:443#MD [310.64ms 0.11Mbps]
95.130.84.36:2053#BY [311.55ms 0.1Mbps]
213.111.148.137:443#UA [311.81ms 1.7Mbps]
37.235.56.86:443#AT [312.26ms 0.15Mbps]
84.235.250.237:443#AE [313.94ms 0.08Mbps]
149.154.157.213:443#IT [314.65ms 0.08Mbps]
179.255.190.5:443#IT [316.59ms 0.08Mbps]
85.90.197.156:443#GR [316.62ms 0.12Mbps]
158.180.5.171:443#AU [317.58ms 0.34Mbps]
207.211.157.214:443#AU [318.32ms 0.27Mbps]
85.155.225.63:8443#IT [319.26ms 0.08Mbps]
132.243.203.205:8443#AT [319.48ms 0.1Mbps]
91.195.254.34:443#AM [320.22ms 0.05Mbps]
213.189.221.242:8443#LT [320.78ms 0.76Mbps]
130.94.81.80:443#OM [322.51ms 4.75Mbps]
51.170.85.31:8443#AE [322.51ms 0.38Mbps]
194.180.191.249:443#MD [322.8ms 0.11Mbps]
132.243.203.218:8443#AT [323.36ms 0.04Mbps]
83.229.6.134:443#IT [326.65ms 0.21Mbps]
5.35.103.185:8443#SK [327.31ms 0.07Mbps]
176.223.140.204:443#LT [328.34ms 0.0Mbps]
38.54.59.70:443#EG [333.36ms 0.05Mbps]
194.87.245.205:8443#IE [337.79ms 0.05Mbps]
144.31.243.120:8443#LT [344.46ms 0.22Mbps]
213.111.177.107:443#CY [348.29ms 1.48Mbps]
64.176.4.154:8443#CL [349.21ms 1.46Mbps]
185.48.250.113:8443#RS [349.31ms 0.08Mbps]
195.133.18.146:443#RS [349.32ms 0.1Mbps]
148.116.110.12:8443#CL [349.93ms 0.76Mbps]
64.176.9.246:443#CL [351.73ms 0.45Mbps]
185.112.146.236:443#IS [351.97ms 0.05Mbps]
185.86.77.181:8443#UA [353.94ms 1.46Mbps]
185.48.250.138:2096#RS [355.63ms 0.0Mbps]
146.19.213.60:443#MD [357.93ms 0.07Mbps]
91.238.105.102:443#UA [358.24ms 0.09Mbps]
130.49.163.54:8443#RS [358.26ms 0.04Mbps]
193.169.228.116:443#IL [360.32ms 0.7Mbps]
130.49.163.54:2053#RS [363.29ms 0.14Mbps]
129.151.124.127:443#CL [364.21ms 1.7Mbps]
185.48.250.138:443#RS [367.69ms 0.0Mbps]
38.180.78.255:443#BR [378.43ms 0.44Mbps]
146.235.59.153:2053#BR [380.3ms 0.08Mbps]
178.219.159.88:443#KG [384.08ms 0.0Mbps]
213.232.235.54:8443#MD [385.28ms 0.35Mbps]
131.255.6.88:443#AR [391.32ms 0.2Mbps]
146.235.59.153:8443#BR [395.83ms 0.06Mbps]
134.65.237.190:8443#BR [402.17ms 0.0Mbps]
94.141.97.10:443#BR [403.36ms 0.0Mbps]
216.173.67.159:443#MY [415.1ms 0.22Mbps]
104.64.59.9:443#BR [420.36ms 0.11Mbps]
216.173.67.144:8443#MY [421.86ms 1.31Mbps]
104.64.59.22:443#BR [424.52ms 0.09Mbps]
216.173.67.59:443#MY [428.97ms 0.54Mbps]
43.174.218.1:443#CO [574.05ms 4.94Mbps]
85.185.86.111:2053#AZ [600.22ms 0.42Mbps]
43.174.195.1:443#AR [642.29ms 5.32Mbps]
103.224.84.70:443#TH [1064.09ms 0.05Mbps]
103.169.206.131:443#ID [1088.58ms 0.13Mbps]
43.169.18.179:443#CO [1107.96ms 4.38Mbps]
102.130.48.155:2053#NG [1135.97ms 0.58Mbps]
101.108.49.121:443#TH [1137.31ms 0.14Mbps]
82.139.194.150:443#CN [优选高速 1207.22ms 8.31Mbps]
46.8.194.76:2053#UZ [1218.64ms 0.16Mbps]
38.180.100.80:443#RS [1230.87ms 0.0Mbps]
194.247.182.120:8443#IS [1247.79ms 0.0Mbps]
89.46.42.92:2053#SK [1258.09ms 2.45Mbps]
37.221.210.113:8443#HU [1273.58ms 0.05Mbps]
202.155.95.132:443#ID [1274.33ms 0.21Mbps]
185.125.171.128:8443#NO [1275.08ms 0.15Mbps]
45.129.141.188:443#SK [1277.8ms 0.11Mbps]
95.130.84.36:8443#BY [1279.79ms 0.1Mbps]
38.213.228.141:443#MX [1283.66ms 0.07Mbps]
35.210.99.51:443#BE [1284.23ms 0.1Mbps]
216.238.72.72:443#MX [1286.29ms 0.25Mbps]
54.229.164.147:2053#IE [1288.47ms 0.04Mbps]
2.56.207.67:443#AM [1290.63ms 0.67Mbps]
38.180.225.247:2053#HU [1306.57ms 1.51Mbps]
185.146.234.242:443#IS [1321.38ms 0.13Mbps]
185.253.75.119:443#IL [1323.25ms 0.26Mbps]
23.95.225.10:2053#IE [1331.13ms 0.14Mbps]
130.94.116.44:443#EC [1337.27ms 0.11Mbps]
196.197.21.2:8443#IE [1338.91ms 1.91Mbps]
185.48.251.115:443#RS [1342.79ms 0.05Mbps]
91.239.6.40:443#AL [1346.64ms 0.26Mbps]
31.58.237.197:2096#AZ [1346.76ms 0.0Mbps]
89.127.235.250:443#IS [1350.54ms 0.08Mbps]
91.250.248.223:443#GR [1351.36ms 0.0Mbps]
195.133.92.74:443#PT [1352.31ms 0.13Mbps]
89.147.110.247:8443#IS [1355.74ms 0.07Mbps]
144.31.217.95:443#NO [1368.83ms 0.0Mbps]
213.111.149.58:8443#UA [1374.48ms 0.09Mbps]
80.178.58.56:443#IL [1380.76ms 0.26Mbps]
217.156.65.62:443#MD [1382.73ms 0.0Mbps]
85.121.176.226:443#MD [1385.07ms 0.45Mbps]
85.121.177.192:8443#MD [1388.39ms 0.0Mbps]
185.48.250.113:443#RS [1393.43ms 0.06Mbps]
216.173.67.144:443#MY [1408.5ms 0.06Mbps]
114.23.136.104:443#NZ [1470.25ms 0.34Mbps]
